Date,Description,Category,Amount
05/08/1954,kugdo,Daycare,$9880.96
09/23/1930,nioni,Daycare,$9985.15
07/28/2035,ek,Daycare,$513.94
09/15/1952,sofdurce,Daycare,$979.94
02/07/1973,feggo,Daycare,$291.40
12/21/1954,haure,Daycare,$2205.18
01/13/1922,azrum,Daycare,$3944.58
12/28/1962,dut,Daycare,$3047.85
01/20/1906,ked,Daycare,$5047.86
03/12/2036,ib,Daycare,$6480.11
10/02/1921,so,Daycare,$5295.03
04/10/1902,gijwa,Daycare,$9774.23
02/14/1991,sev,Daycare,$3965.47
09/08/1980,zu,Daycare,$7843.37
10/02/2002,ala,Daycare,$5709.73
02/19/1950,gumag,Daycare,$5752.00
08/30/2019,uzged,Daycare,$8224.75
01/23/1932,gi,Daycare,$8149.83
08/01/1928,tebbiuca,Daycare,$6857.60
02/25/1902,ruom,Daycare,$5996.14
11/17/1904,fa,Daycare,$8653.36
09/10/1988,gade,Daycare,$7610.75
04/16/2052,bogrev,Daycare,$2045.26
05/11/2040,ubici,Daycare,$1575.11
03/10/1972,mozevit,Daycare,$6199.20
03/23/1979,udlu,Daycare,$4671.23
05/20/2031,uwal,Daycare,$2076.64
02/16/1993,kef,Daycare,$774.97
10/16/2002,lez,Daycare,$9242.63
09/06/1948,jo,Daycare,$6588.48
10/04/1986,an,Daycare,$4440.64
11/04/1900,avego,Daycare,$5164.22
03/03/1912,tohzizas,Daycare,$5039.14
07/12/1972,vurwom,Daycare,$5569.73
02/04/2048,zem,Daycare,$1524.30
06/27/2060,du,Daycare,$1177.72
04/07/2005,ewanlin,Daycare,$9522.50
11/25/1954,ugbil,Daycare,$7132.42
05/15/1944,jigubes,Daycare,$8277.94
12/12/1956,map,Daycare,$2503.71
07/26/1901,mafafem,Daycare,$9897.80
02/17/2036,gaj,Daycare,$7460.87
01/29/2049,siden,Daycare,$5310.86
06/29/2028,orta,Daycare,$3127.59
04/09/1957,cig,Daycare,$5863.40
03/01/1944,tijla,Daycare,$1531.53
04/18/1984,fak,Daycare,$9690.56
07/02/1951,ez,Daycare,$9579.05
02/16/1910,kaj,Daycare,$727.76
11/29/2044,miv,Daycare,$9321.15
08/28/2019,hu,Daycare,$5257.81
08/10/2047,udojijte,Daycare,$1838.61
08/27/2002,ilzejzo,Daycare,$5123.83
07/24/1972,ekiut,Daycare,$3943.71
04/29/1914,gufwoefa,Daycare,$7376.57
10/07/2023,ip,Daycare,$5939.81
07/27/1943,pe,Daycare,$6334.25
10/11/1926,nibukgup,Daycare,$255.00
10/19/1913,ovo,Daycare,$1340.07
11/03/1968,ohila,Daycare,$8549.34
04/05/1975,be,Daycare,$7597.41
09/30/1952,adlit,Daycare,$8438.75
10/03/1975,enefec,Daycare,$2724.74
04/01/1908,litodis,Daycare,$7465.34
05/24/1965,focjeser,Daycare,$4453.54
09/18/1947,nozazid,Daycare,$9951.79
02/17/1957,uhumtaz,Daycare,$1900.86
07/05/1925,ka,Daycare,$8088.39
04/14/1954,wejerwat,Daycare,$5260.36
10/28/1931,bauhnu,Daycare,$9437.31
03/01/1948,wuwar,Daycare,$7428.78
11/25/2015,ake,Daycare,$1417.98
07/20/1935,ged,Daycare,$4905.03
11/28/1901,nag,Daycare,$3569.57
05/30/2059,acaremu,Daycare,$5509.00
11/30/1942,kemuvi,Daycare,$3231.20
03/28/2049,guri,Daycare,$9897.60
09/25/2051,olianeki,Daycare,$2975.66
09/03/1980,jokit,Daycare,$5313.83
06/04/1923,do,Daycare,$6363.50
05/23/1995,zoksiun,Daycare,$65.92
03/11/1963,rieg,Daycare,$6664.41
12/29/2049,ba,Daycare,$7215.44
04/12/1961,jaik,Daycare,$5293.62
04/16/2055,gajfif,Daycare,$902.92
04/30/2050,pafpihjer,Daycare,$1987.51
03/11/2010,carti,Daycare,$2351.09
09/18/2004,revra,Daycare,$3680.65
10/05/2013,ikgom,Daycare,$763.37
09/25/1912,azhevuf,Daycare,$7516.23
12/23/1962,gebzop,Daycare,$8899.50
04/25/1917,liuji,Daycare,$7174.30
11/15/1911,nopas,Daycare,$7423.46
03/05/1940,pu,Daycare,$3543.41
03/16/2026,maobkav,Daycare,$9102.98
12/16/2004,alaegped,Daycare,$2809.61
05/22/2008,vepog,Daycare,$4307.21
03/22/1951,mov,Daycare,$1580.53
10/21/1973,eduuf,Daycare,$6393.80
01/19/1912,zefmiwu,Daycare,$8950.85
05/26/1951,du,Daycare,$8711.23
06/09/1933,la,Daycare,$517.37
12/26/1980,po,Daycare,$8291.45
07/06/1924,ruscebi,Daycare,$7513.91
09/05/1962,bajifpiv,Daycare,$7459.80
01/07/1940,ozepubis,Daycare,$8692.70
04/19/1973,filu,Daycare,$3057.37
08/05/1987,ofasevmod,Daycare,$7791.57
11/04/1976,zisomu,Daycare,$2720.39
03/09/2017,iccev,Daycare,$7024.12
04/19/1994,vos,Daycare,$6405.93
07/18/1912,gomzu,Daycare,$4903.48
03/25/1911,ugkewama,Daycare,$3876.81
09/12/2048,lot,Daycare,$9068.12
07/20/2012,su,Daycare,$7666.64
11/08/2045,rig,Daycare,$141.35
01/09/1927,makezhi,Daycare,$8736.81
08/18/2067,emtar,Daycare,$7738.50
03/09/2009,nizra,Daycare,$5754.69
08/06/1982,siltu,Daycare,$6898.96
01/04/1992,bejteada,Daycare,$4414.53
11/02/2042,na,Daycare,$6779.00
06/10/1928,tilahvi,Daycare,$4910.94
07/30/1932,vufwag,Daycare,$5945.12
01/09/2027,heggiphe,Daycare,$3797.07
04/01/1940,vupekmo,Daycare,$3206.40
01/22/2054,nubbismo,Daycare,$9715.26
06/12/1927,ru,Daycare,$7989.63
09/08/2017,ci,Daycare,$4155.41
07/31/1921,razvedlum,Daycare,$4756.18
05/18/1959,gip,Daycare,$5159.15
07/11/2068,umifah,Daycare,$4877.73
04/05/1917,rulete,Daycare,$3542.29
06/29/1979,zesi,Daycare,$7110.14
02/20/1989,moen,Daycare,$6519.72
07/14/1972,boli,Daycare,$2476.63
07/28/1980,zunhikta,Daycare,$7055.21
03/10/1998,hotumda,Daycare,$6480.37
01/22/2018,cotfe,Daycare,$5773.16
09/20/1953,owujipik,Daycare,$4023.47
03/16/1954,hihuz,Daycare,$9340.90
06/04/1925,wi,Daycare,$112.79
04/22/1958,akido,Daycare,$8707.62
10/22/1946,wat,Daycare,$2264.47
06/09/1933,vin,Daycare,$55.07
06/06/1918,cugov,Daycare,$1655.49
11/26/1952,gocadzip,Daycare,$5358.08
10/20/1973,uvomo,Daycare,$1218.26
08/22/2037,nigmar,Daycare,$7073.51
01/27/1923,jakgijez,Daycare,$614.99
06/07/2031,tiiza,Daycare,$9601.57
03/05/1972,zitesulu,Daycare,$131.80
04/18/2047,kokedeha,Daycare,$247.75
02/04/1968,ocaka,Daycare,$1504.52
03/06/2016,bohwibjed,Daycare,$2930.69
01/25/1962,gugiz,Daycare,$9318.14
09/14/2057,keicenac,Daycare,$5774.34
11/28/1988,ku,Daycare,$4640.80
01/13/1992,tulkec,Daycare,$1073.56
09/18/1977,taeda,Daycare,$5058.44
05/20/1916,nugorul,Daycare,$6230.95
04/30/2017,suhwin,Daycare,$4360.67
08/20/2006,buh,Daycare,$7264.29
04/09/1944,vab,Daycare,$6351.90
08/27/2001,mucbo,Daycare,$1192.86
12/18/1913,alon,Daycare,$4765.48
07/06/2057,werpawif,Daycare,$6715.08
10/06/2057,wupniuje,Daycare,$3010.08
01/03/1966,ejo,Daycare,$3759.03
09/03/1943,rurwuwofa,Daycare,$6275.19
11/07/2064,si,Daycare,$6056.49
11/12/1931,daw,Daycare,$6543.46
12/17/1932,ik,Daycare,$7655.63
10/02/2040,nak,Daycare,$358.69
11/30/1952,robosvuj,Daycare,$2413.33
04/29/2008,dizvah,Daycare,$8443.33
08/15/2031,mep,Daycare,$6095.90
01/04/1947,te,Daycare,$6499.53
09/08/1921,odatuffo,Daycare,$2525.25
10/04/2014,hi,Daycare,$1145.16
01/06/1988,vof,Daycare,$1976.79
03/03/1905,kan,Daycare,$4127.97
09/13/2001,borif,Daycare,$4305.80
10/03/1919,gu,Daycare,$646.61
01/22/2041,zut,Daycare,$3414.21
11/21/1931,hipuzu,Daycare,$4764.89
09/15/2005,kiwag,Daycare,$5759.24
06/11/1906,rolusi,Daycare,$8071.27
06/07/1933,de,Daycare,$8092.58
03/29/2066,omi,Daycare,$5639.76
06/21/2022,ta,Daycare,$4965.82
12/08/1948,taf,Daycare,$548.84
01/31/2000,jigenuav,Daycare,$7439.61
01/16/2014,birider,Daycare,$478.90
07/04/1969,rablovne,Daycare,$4966.99
03/17/1966,mem,Daycare,$2962.22
05/28/1964,goho,Daycare,$7823.96
03/05/2038,cepra,Daycare,$7541.16
07/28/1981,dijsewke,Daycare,$9866.97
10/01/2039,hifap,Daycare,$3197.58
09/15/2009,mejwif,Daycare,$2224.93
08/25/1917,fo,Daycare,$1304.87
08/26/1946,je,Daycare,$1601.45
04/22/1963,odacocuh,Daycare,$6903.62
04/26/1993,fosgane,Daycare,$6534.58
10/23/2021,cu,Daycare,$1949.29
03/28/2006,ibutudpi,Daycare,$2218.19
03/10/1946,det,Daycare,$3697.06
08/16/1987,hadgeccen,Daycare,$5791.84
04/21/1927,uge,Daycare,$6372.92
10/09/1946,gekri,Daycare,$3429.89
04/21/2025,remopsav,Daycare,$347.80
02/24/1978,sa,Daycare,$7772.87
04/20/2066,zoeforo,Daycare,$7312.20
08/28/2058,mobof,Daycare,$2066.19
12/04/2009,pi,Daycare,$4397.86
09/12/2031,iwiha,Daycare,$4867.61
02/28/1978,ajsodgip,Daycare,$3879.47
12/05/2068,zizum,Daycare,$6591.45
12/20/1975,usu,Daycare,$3392.19
03/21/2012,woulu,Daycare,$813.95
08/04/1962,iwji,Daycare,$9243.31
12/30/1994,bihbakzub,Daycare,$0.98
05/08/1978,dunga,Daycare,$4544.51
11/14/2004,rav,Daycare,$9965.74
12/27/1959,kunta,Daycare,$4999.60
05/26/1973,polafmif,Daycare,$5414.09
09/05/2045,mefu,Daycare,$582.61
10/27/1913,neum,Daycare,$7860.25
12/16/1946,wu,Daycare,$4149.71
10/09/1927,eg,Daycare,$2760.78
07/17/1967,wab,Daycare,$5986.67
07/03/1966,ret,Daycare,$5877.89
02/20/1929,cadba,Daycare,$6035.52
08/10/1914,jam,Daycare,$651.87
09/30/1986,wuve,Daycare,$7213.14
06/11/2052,sobtiwhak,Daycare,$9140.30
11/26/1936,fuji,Daycare,$2519.52
04/22/2027,arrit,Daycare,$273.27
11/10/1991,sizo,Daycare,$3794.52
11/02/2004,soregi,Daycare,$4223.93
11/09/2036,son,Daycare,$9823.04
10/27/2062,cutiewi,Daycare,$4490.22
10/04/1944,ri,Daycare,$5681.84
02/23/1955,gej,Daycare,$313.64
06/26/1939,la,Daycare,$9388.21
09/25/2032,vedinoh,Daycare,$5146.60
03/26/2024,uge,Daycare,$7884.75
02/12/1949,juvne,Daycare,$2473.71
08/05/1953,ge,Daycare,$1030.13
01/08/2064,liat,Daycare,$9552.90
03/07/1920,lac,Daycare,$6609.33
06/29/2047,sodemib,Daycare,$534.28
05/03/1950,jurapoh,Daycare,$4056.59
07/04/1937,emopa,Daycare,$3072.88
06/16/2068,gaop,Daycare,$6370.27
03/17/1926,pezu,Daycare,$5986.93
06/15/2050,bus,Daycare,$2995.25
03/03/1991,ta,Daycare,$4946.05
01/23/1956,fo,Daycare,$2655.35
02/28/2052,rar,Daycare,$9509.19
06/18/1986,zukpajot,Daycare,$9095.47
01/07/2067,zaejo,Daycare,$2339.77
07/24/1954,eje,Daycare,$8754.29
03/30/1969,behitu,Daycare,$1167.12
08/14/1917,kapcu,Daycare,$280.38
08/14/2064,bawhofodu,Daycare,$4984.76
02/13/1916,jej,Daycare,$2493.67
02/17/2042,cesiweaha,Daycare,$280.20
04/11/2052,gez,Daycare,$9318.45
07/03/1987,ze,Daycare,$8159.72
11/04/2049,cimjuid,Daycare,$2462.84
04/11/2060,isejekfal,Daycare,$2272.58
06/12/2030,ga,Daycare,$5588.75
10/25/1970,laev,Daycare,$9288.46
04/27/2021,caajiik,Daycare,$3137.41
07/14/2027,nagotpi,Daycare,$7061.26
02/28/1925,dezidep,Daycare,$328.65
06/06/1962,lubol,Daycare,$3411.81
04/26/2004,tufsuohu,Daycare,$3242.73
04/14/2044,bato,Daycare,$4588.30
12/17/1902,tidu,Daycare,$9705.78
09/24/1997,ol,Daycare,$6928.37
12/05/1933,ponbih,Daycare,$9611.12
11/04/1910,hakasoh,Daycare,$66.34
06/19/2043,baismel,Daycare,$91.34
10/17/2059,go,Daycare,$5230.70
01/18/1913,tutuc,Daycare,$8821.45
08/28/2024,boiku,Daycare,$348.46
03/03/2003,moojnem,Daycare,$1357.53
09/28/1925,harulosu,Daycare,$3998.68
06/29/1945,budilva,Daycare,$4015.67
06/30/1997,vev,Daycare,$2901.41
12/14/2043,inopav,Daycare,$8311.05
10/28/1960,dol,Daycare,$7779.25
04/10/1935,guti,Daycare,$5397.59
07/23/2000,do,Daycare,$2672.78
09/28/1919,zusu,Daycare,$1106.88
12/28/1918,zocisafu,Daycare,$8774.20
08/04/2062,kahacbil,Daycare,$3704.49
05/22/1997,wiplen,Daycare,$9731.73
02/24/2042,revpa,Daycare,$796.28
08/14/1998,wa,Daycare,$1711.73
10/02/1932,se,Daycare,$8839.03
05/20/1998,vapha,Daycare,$6596.39
04/07/1942,om,Daycare,$8744.74
01/29/1949,ce,Daycare,$7867.31
04/18/1924,abelial,Daycare,$2412.67
09/22/2040,obumev,Daycare,$1662.15
11/05/1937,vav,Daycare,$5153.02
06/09/2021,lel,Daycare,$6130.24
11/19/2045,ah,Daycare,$224.24
06/23/2017,emuhot,Daycare,$598.37
07/22/2063,vacacku,Daycare,$1690.98
08/21/1998,namoigi,Daycare,$6839.20
02/18/1964,esomir,Daycare,$6030.29
02/27/1949,oder,Daycare,$6800.78
04/26/1958,velu,Daycare,$6189.09
01/05/1935,nezmak,Daycare,$8822.20
01/27/2022,veletve,Daycare,$3221.97
05/29/2005,cemcub,Daycare,$3568.33
05/19/1974,furies,Daycare,$7592.74
06/03/2012,zelmijtir,Daycare,$3595.38
05/21/1939,jehizi,Daycare,$55.54
06/02/1997,cizbughu,Daycare,$606.30
01/20/1975,bew,Daycare,$7707.15
12/18/1914,duvo,Daycare,$3035.31
01/28/1918,toh,Daycare,$7660.30
09/28/1958,bi,Daycare,$1111.42
07/24/2016,bi,Daycare,$3722.74
06/19/1975,cogzajis,Daycare,$669.78
11/24/2060,oz,Daycare,$8825.69
09/15/1941,ijohogej,Daycare,$8856.94
09/01/1905,ele,Daycare,$1062.63
01/07/1955,mucsaces,Daycare,$3918.53
10/10/2024,duvlaha,Daycare,$8901.78
02/13/1934,javfuhi,Daycare,$6381.05
02/08/2000,puuso,Daycare,$1023.81
06/26/1928,oca,Daycare,$8794.94
04/14/1905,roradfi,Daycare,$4356.18
02/13/2019,pueva,Daycare,$8360.47
03/25/1918,va,Daycare,$1314.07
03/16/1975,nam,Daycare,$8658.64
01/25/1919,samu,Daycare,$730.10
10/20/1952,uche,Daycare,$2521.86
03/13/1936,visdosi,Daycare,$607.06
04/07/1957,rij,Daycare,$2197.55
06/12/2027,pofewpo,Daycare,$6339.67
12/12/2029,of,Daycare,$8076.01
08/11/2000,hagiffep,Daycare,$3198.96
03/03/2014,hela,Daycare,$7753.10
11/24/1931,lurep,Daycare,$3403.54
09/14/2066,gu,Daycare,$3523.53
02/19/1948,pooji,Daycare,$543.88
08/31/1997,jecok,Daycare,$2297.67
06/12/1989,ig,Daycare,$8834.65
04/23/1995,nufer,Daycare,$2738.27
08/12/1905,bisjuji,Daycare,$1160.16
05/03/1921,ru,Daycare,$1511.14
09/18/2029,zol,Daycare,$6983.11
11/27/2023,na,Daycare,$9640.18
12/09/2010,hek,Daycare,$4037.56
06/27/1900,guiracut,Daycare,$4523.49
10/03/1962,gam,Daycare,$7354.46
08/04/2020,rawdocki,Daycare,$2285.96
02/27/1989,sa,Daycare,$7323.31
08/18/1927,kolu,Daycare,$7530.80
10/31/2018,hev,Daycare,$5003.47
06/23/1993,zumewo,Daycare,$8125.37
08/21/2051,aku,Daycare,$9115.49
08/17/2009,soldeaf,Daycare,$992.10
07/07/1904,pu,Daycare,$6500.09
02/25/1969,uwo,Daycare,$6446.07
08/16/2052,jozludnup,Daycare,$8816.59
03/11/2018,dafo,Daycare,$586.22
01/27/1926,uveve,Daycare,$6515.40
09/17/2013,kuf,Daycare,$4012.62
01/31/1960,liiha,Daycare,$1397.30
01/31/1991,kuli,Daycare,$8932.00
01/18/2019,pi,Daycare,$1841.97
11/11/1904,egduksec,Daycare,$8451.33
02/28/1940,fomok,Daycare,$5566.48
03/18/1968,zuchovu,Daycare,$1041.78
09/02/1906,jijasik,Daycare,$3994.16
11/06/2042,ecloera,Daycare,$612.87
05/27/2067,zeszuv,Daycare,$1300.14
09/16/1919,bis,Daycare,$614.74
06/17/1947,saimcel,Daycare,$9938.91
08/24/2055,barezok,Daycare,$2673.36
12/05/1960,apecap,Daycare,$678.48
05/24/1939,nom,Daycare,$1182.64
12/31/1974,zatnijuzo,Daycare,$3556.44
11/21/2067,tiherol,Daycare,$5098.83
10/10/1973,juw,Daycare,$4749.19
08/26/2064,pitwuj,Daycare,$2285.90
01/29/2040,suzafi,Daycare,$45.49
05/19/1920,edpuzvid,Daycare,$8148.63
01/14/1944,damrih,Daycare,$9802.88
03/07/1938,jadite,Daycare,$3777.42
08/04/1996,zeh,Daycare,$4878.32
05/03/1990,wuduho,Daycare,$7470.69
04/17/2033,cop,Daycare,$8186.63
03/09/2018,gozawac,Daycare,$9190.80
04/28/1988,ow,Daycare,$8312.78
12/13/1992,lanac,Daycare,$8840.16
09/08/1925,mosdaduh,Daycare,$180.53
04/30/1914,refuni,Daycare,$67.93
06/02/2068,reznikbi,Daycare,$1611.45
10/14/1964,hipuwut,Daycare,$2266.63
12/17/2043,bofol,Daycare,$6739.06
04/06/1927,evukivfu,Daycare,$7317.26
01/27/2008,ze,Daycare,$6569.30
07/10/1963,helcivuw,Daycare,$4982.74
11/01/1905,wathihbog,Daycare,$8634.71
03/10/2041,ve,Daycare,$9639.33
05/28/2023,afve,Daycare,$9153.34
06/02/2000,erwazrug,Daycare,$2867.40
08/19/2070,pirkerib,Daycare,$4909.09
11/01/1904,numwaet,Daycare,$341.41
09/24/1942,wefbig,Daycare,$6999.18
03/10/1989,uz,Daycare,$4349.89
09/12/1902,wal,Daycare,$4009.24
06/06/1925,wibiw,Daycare,$7201.51
04/10/1976,hozeb,Daycare,$7319.88
09/10/1981,asuhig,Daycare,$3744.44
01/31/2006,gevben,Daycare,$2431.18
05/26/1994,ki,Daycare,$1063.88
01/06/2016,hatto,Daycare,$9320.48
03/16/2022,alwi,Daycare,$2509.22
01/22/2036,og,Daycare,$8602.05
02/11/1946,ninizjuk,Daycare,$696.23
04/24/1922,fugdulu,Daycare,$5397.67
07/09/2051,lubof,Daycare,$4505.75
09/16/1989,cej,Daycare,$734.18
07/01/2067,kemtojasi,Daycare,$3925.69
09/22/1960,kusupmih,Daycare,$4075.92
05/28/1923,facava,Daycare,$6224.74
03/22/1942,neuk,Daycare,$9951.01
09/18/1933,pucmah,Daycare,$401.24
02/05/1937,ofruf,Daycare,$1431.66
11/20/1902,zefwufeba,Daycare,$5308.15
08/16/2057,ba,Daycare,$8864.85
01/14/1967,wosba,Daycare,$6320.59
10/09/1927,si,Daycare,$5571.99
04/01/2009,tu,Daycare,$4685.17
03/04/2016,duw,Daycare,$2622.19
04/28/1928,zaofu,Daycare,$1485.13
08/05/1950,hovu,Daycare,$9342.49
01/29/1926,kobwo,Daycare,$7621.27
09/18/1907,wu,Daycare,$8457.23
01/29/1914,sesuga,Daycare,$8637.62
05/24/2004,nac,Daycare,$8149.98
08/27/2070,pevov,Daycare,$8706.17
01/12/2059,gedi,Daycare,$9372.70
08/30/1951,namisli,Daycare,$4320.21
06/07/2020,na,Daycare,$6828.94
05/21/1948,avorazdo,Daycare,$4196.91
12/29/1912,wuzib,Daycare,$8761.56
09/09/1992,woskobor,Daycare,$9637.94
08/01/2048,wamel,Daycare,$3956.17
01/13/2065,ku,Daycare,$5148.43
10/12/2018,rensorsi,Daycare,$1858.24
02/18/2034,zunas,Daycare,$175.71
12/29/1986,pofga,Daycare,$6487.44
07/04/1927,kuhhine,Daycare,$7773.60
01/20/2042,to,Daycare,$9026.07
09/10/1930,pewkefza,Daycare,$826.30
12/02/2052,gopezu,Daycare,$6637.58
04/12/1968,ju,Daycare,$8171.24
06/29/2010,fal,Daycare,$6912.05
07/14/1932,wazojiv,Daycare,$565.44
08/01/1934,hutvaki,Daycare,$4601.60
05/08/2008,owihewo,Daycare,$821.51
01/29/2030,ena,Daycare,$2736.88
03/06/2047,giw,Daycare,$2187.77
07/25/2056,owuuha,Daycare,$885.84
11/30/1901,duzade,Daycare,$7369.67
07/30/1937,web,Daycare,$2474.58
06/08/1965,oce,Daycare,$1546.11
03/17/1936,uwipen,Daycare,$4892.68
03/14/2001,vobaj,Daycare,$3436.90
06/26/2003,hoziflu,Daycare,$1536.04
12/11/2017,be,Daycare,$8393.75
11/27/2030,beflicesa,Daycare,$8470.93
05/07/2000,boera,Daycare,$1218.36
02/27/1955,pownil,Daycare,$2265.65
12/27/2045,lipaha,Daycare,$1675.72
11/09/1903,du,Daycare,$4273.37
05/27/1902,asu,Daycare,$7923.53
09/29/2010,agutew,Daycare,$6445.00
02/03/1925,zavvami,Daycare,$1792.82
01/09/2013,jifme,Daycare,$9990.20
07/10/2004,nodluz,Daycare,$9829.53
03/22/1901,wajezi,Daycare,$4193.49
02/03/1965,umnolaw,Daycare,$2913.19
06/04/1937,zacmo,Daycare,$1067.54
10/14/2043,leli,Daycare,$1990.51
07/02/1919,ulgec,Daycare,$6503.66
05/16/1985,mel,Daycare,$304.09
01/16/1966,aw,Daycare,$5413.55
12/28/1942,rafewobon,Daycare,$2601.42
06/29/1905,ferra,Daycare,$7219.20
06/08/1922,gihade,Daycare,$7450.51
06/06/1938,ru,Daycare,$4342.56
12/20/1990,jug,Daycare,$1820.28
09/27/1906,ho,Daycare,$2344.11
04/14/2036,epfer,Daycare,$5087.38
09/02/1995,voivohe,Daycare,$5697.16
06/29/2015,doif,Daycare,$3850.98
04/29/2028,gujrep,Daycare,$4486.68
07/02/2057,hagow,Daycare,$5644.84
01/09/1936,cozbu,Daycare,$6320.81
04/14/2060,dipolcu,Daycare,$289.10
04/13/1933,meudidu,Daycare,$3702.37
12/06/1900,wim,Daycare,$3128.75
04/14/1922,ru,Daycare,$871.35
07/04/1904,ot,Daycare,$3859.30
11/23/2029,lu,Daycare,$2096.91
01/08/1974,hobipi,Daycare,$3079.78
11/04/2042,datzol,Daycare,$4948.39
09/17/1975,oksig,Daycare,$5225.73
10/01/2058,havuc,Daycare,$8342.95
12/30/1911,on,Daycare,$9209.30
11/09/2045,na,Daycare,$7030.91
03/07/1963,lufaopo,Daycare,$3332.68
02/09/1912,buhuvuje,Daycare,$9998.58
04/17/2062,jac,Daycare,$7363.70
07/18/2023,porwumuf,Daycare,$203.75
09/13/2013,pi,Daycare,$5556.11
04/13/2027,ruule,Daycare,$9352.37
12/26/2039,unatu,Daycare,$2314.47
03/15/1962,ahzi,Daycare,$8597.58
05/19/1982,nar,Daycare,$200.63
03/10/2061,fobzaod,Daycare,$7594.24
05/24/2002,tagul,Daycare,$5630.19
12/25/2059,pe,Daycare,$794.05
06/20/1928,oda,Daycare,$4444.38
11/18/1984,tidmivek,Daycare,$2627.54
03/29/1964,nowab,Daycare,$2024.92
11/10/1956,sa,Daycare,$7352.54
11/19/2006,soz,Daycare,$3705.21
10/23/2025,hu,Daycare,$6160.00
11/03/1942,hazzuut,Daycare,$9391.10
09/26/1995,ubko,Daycare,$9128.14
09/25/2062,diomuhej,Daycare,$1784.06
02/09/2068,iro,Daycare,$6974.99
02/23/1911,hilwi,Daycare,$9707.72
08/21/1930,lardeh,Daycare,$5950.81
06/06/2052,cacowwim,Daycare,$5777.95
05/01/2003,nabagno,Daycare,$5070.91
05/26/2005,giweguz,Daycare,$7267.96
12/09/1932,vicecup,Daycare,$432.02
08/09/1993,imavicufe,Daycare,$9112.18
05/23/2028,vu,Daycare,$5637.52
04/16/1993,amki,Daycare,$492.08
05/13/1975,ka,Daycare,$4133.04
03/17/1988,peklug,Daycare,$8996.32
10/13/2065,piz,Daycare,$9393.65
04/20/1988,liwel,Daycare,$1141.23
02/12/1939,ruw,Daycare,$4838.75
09/30/2002,viwlohul,Daycare,$161.70
06/08/1926,weglizvob,Daycare,$72.09
05/14/1902,lecuf,Daycare,$836.25
02/01/2037,bivnamo,Daycare,$5464.70
03/30/1908,uro,Daycare,$4361.25
09/14/1903,sos,Daycare,$6533.97
06/10/2046,pakculu,Daycare,$3022.37
05/11/2041,nob,Daycare,$3306.60
03/31/2007,ma,Daycare,$3692.18
06/06/1920,id,Daycare,$9946.96
02/05/2001,gad,Daycare,$313.22
03/28/1918,me,Daycare,$8592.69
07/27/2033,zon,Daycare,$8099.16
04/20/2059,if,Daycare,$8496.19
11/24/1994,comala,Daycare,$4397.54
09/05/1902,puj,Daycare,$356.50
07/31/2051,ekadak,Daycare,$8317.74
04/04/2005,cazi,Daycare,$5136.37
03/21/1992,ar,Daycare,$725.62
